# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.427993590917414394e+03 -4.133048132791659348e-04 1.144254807692034767e-04 -1.494396662549812155e-04
-1.426993560397973397e+03 2.200437969419284721e-04 -4.525625391770618522e-05 8.739377151211115023e-05
-1.425993529878532627e+03 3.788972425867375370e-04 -3.485612804694924105e-04 1.516798105862256327e-05
-1.424993499359091857e+03 6.924640935145052242e-04 2.721212896869144361e-04 4.822926916007098030e-04
-1.423993468839650859e+03 3.768417658730718227e-04 1.123920448142477080e-04 2.446169053436597586e-04
-1.422993438320209862e+03 6.986983931696690063e-04 -4.533227021508758205e-05 3.266830614772907359e-04
-1.421993407800769091e+03 1.175249034459251163e-03 -5.062095792013787850e-04 3.345197276289361889e-04
-1.420993377281328321e+03 1.482436151058937448e-03 -3.918445216433145875e-05 7.216258494473030147e-04
-1.419993346761887324e+03 6.924156152900901896e-04 -2.031326015416674629e-04 2.446415068742113634e-04
-1.418993316242446326e+03 3.768417658730718227e-04 -9.752776442308026903e-04 -2.992179391788654338e-04
-1.417993285723005556e+03 5.271533483823517613e-04 -6.597529978747761854e-04 -6.629982474621221207e-05
-1.416993255203564786e+03 -8.981937091619831897e-04 -1.948183190156107798e-04 -5.465060140887969577e-04
-1.415993224684123788e+03 -1.211595734126949542e-03 1.123160285168696247e-04 -5.496398528050400059e-04
-1.414993194164682791e+03 -8.874218477049485541e-04 -3.547090985202485270e-04 -6.210654731125985406e-04
-1.413993163645242021e+03 -2.585332341270263324e-04 -6.681908068841145749e-04 -4.633620205055704808e-04
-1.412993133125801251e+03 -2.585332341270263324e-04 -9.731396858669862874e-04 -6.158364599970063370e-04
-1.411993102606360253e+03 -9.749826838501998532e-05 -8.217532296318571941e-04 -4.596257490084385694e-04
-1.410993072086919256e+03 6.135517725986285953e-05 -1.288778356668975359e-03 -6.137115897045562025e-04
-1.409993041567478485e+03 3.790523729047501041e-04 -1.286621394230742831e-03 -4.537845106629963634e-04
-1.408993011048037715e+03 5.356855158730412705e-04 -1.282269461205728283e-03 -3.732919726663435061e-04
-1.407992980528596718e+03 6.922992675515808863e-04 -8.217912377805478485e-04 -6.474598511448348111e-05
-1.406992950009155720e+03 2.202377098394440861e-04 -9.752776442308026903e-04 -3.775199671956793292e-04
-1.405992919489714950e+03 5.356855158730412705e-04 -1.133153991854833316e-03 -2.987342379908960229e-04
-1.404992888970274180e+03 2.134798453609485132e-04 -1.440079294569514756e-03 -6.132997246042831349e-04
-1.403992858450833182e+03 6.369182767489021046e-05 -8.151588158339112414e-04 -3.757334940795105426e-04
-1.402992827931392185e+03 5.379639924188860285e-04 -3.503571654950925446e-04 9.380341346189674198e-05
-1.401992797411951415e+03 6.922410936823261262e-04 -1.969182692307365555e-04 2.476614122257947718e-04
-1.400992766892510645e+03 3.745438980375476136e-04 -1.969182692307365555e-04 8.881281440340552905e-05
-1.399992736373069647e+03 5.915426587302274517e-05 -4.124639423076653937e-05 8.953935821128102901e-06
-1.398992705853628649e+03 -1.043240023776442234e-04 -1.969182692307365555e-04 -1.506211358041903826e-04
-1.397992675334187879e+03 -4.127230745866188218e-04 1.167059696906421157e-04 -1.480085524479883531e-04
