# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.442994048709027538e+03 -1.388816026975547846e-02 -1.615594312083904653e-03 -7.751877290919691882e-03
-1.441994018189586768e+03 -1.451975396825395080e-02 -1.765688491263478098e-03 -8.142721229758714124e-03
-1.440993987670145998e+03 -1.436091021825398190e-02 -1.142981987189215301e-03 -7.751946102721598598e-03
-1.439993957150705000e+03 -1.435899048056857655e-02 -8.391448465555118898e-04 -7.599067663562044002e-03
-1.438993926631264003e+03 -1.420206646825401126e-02 -1.300506759437860356e-03 -7.751286613845935480e-03
-1.437993896111823233e+03 -1.420594472620432397e-02 -9.929543222696364264e-04 -7.599449524236980523e-03
-1.436993865592382463e+03 -1.499823404287396397e-02 -1.623290962193560394e-03 -8.310762502533762183e-03
-1.435993835072941465e+03 -1.515904600878386320e-02 -2.699605716817439927e-03 -8.929325862800652214e-03
-1.434993804553500468e+03 -1.579050396825392236e-02 -1.919298424196870176e-03 -8.854901196225395399e-03
-1.433993774034059697e+03 -1.562374857203531302e-02 -9.871770836687577926e-04 -8.305462827852034755e-03
-1.432993743514618927e+03 -1.452174157545344998e-02 -8.392778750758582733e-04 -7.680509725264654183e-03
-1.431993712995177930e+03 -1.451975396825395080e-02 -1.146725789835179596e-03 -7.833239879044565090e-03
-1.430993682475736932e+03 -1.483744146825388514e-02 -1.617675258224755656e-03 -8.227558363239319966e-03
-1.429993651956296162e+03 -1.451572057998562482e-02 -1.923108741103219353e-03 -8.219414660544422518e-03
-1.428993621436855392e+03 -1.452178035803295374e-02 -1.927071090604189334e-03 -8.224425724318570885e-03
-1.427993590917414394e+03 -1.451771788283003767e-02 -1.763427006416380151e-03 -8.140572444623208476e-03
-1.426993560397973397e+03 -1.436295599932281043e-02 -9.910539148351002383e-04 -7.677004957078955444e-03
-1.425993529878532627e+03 -1.483949694496766898e-02 -8.353820398351312522e-04 -7.837439492401400767e-03
-1.424993499359091857e+03 -1.499628521825397028e-02 -6.797101648351621577e-04 -7.837997691544565729e-03
-1.423993468839650859e+03 -1.515305410025052230e-02 -1.150792661745086119e-03 -8.151923380997804641e-03
-1.422993438320209862e+03 -1.435674109095732426e-02 -1.611698476843037011e-03 -7.984219783900179876e-03
-1.421993407800769091e+03 -1.404322271825393480e-02 -1.144673349805880357e-03 -7.593948034029907902e-03
-1.420993377281328321e+03 -1.372343126331587899e-02 -9.931158569015366335e-04 -7.358273560108707922e-03
-1.419993346761887324e+03 -1.388860626941980890e-02 -1.617884303042483674e-03 -7.753245286231146179e-03
-1.418993316242446326e+03 -1.436303356448181620e-02 -1.767332343694315126e-03 -8.065182954088066097e-03
-1.417993285723005556e+03 -1.452188701012662592e-02 -1.613741414835197360e-03 -8.067814212480910879e-03
-1.416993255203564786e+03 -1.467645498073641072e-02 -1.771513240050292311e-03 -8.223984110393350866e-03
-1.415993224684123788e+03 -1.436091021825398537e-02 -1.765194385330498723e-03 -8.063052301792241611e-03
-1.414993194164682791e+03 -1.451975396825395427e-02 -9.889349605456670012e-04 -7.754344464399810961e-03
-1.413993163645242021e+03 -1.452409761715830507e-02 -1.308783033815187407e-03 -7.916440325486745477e-03
-1.412993133125801251e+03 -1.499410369815695407e-02 -1.762999414743715403e-03 -8.378551556450335169e-03
-1.411993102606360253e+03 -1.467859771825392144e-02 -8.310871190330817787e-04 -7.754842418643501448e-03
-1.410993072086919256e+03 -1.468079862964076325e-02 -5.283522147116580117e-04 -7.604575422176210360e-03
-1.409993041567478485e+03 -1.531839393231737914e-02 -1.153225183261290384e-03 -8.235809557789334004e-03
-1.408993011048037715e+03 -1.546837586290095157e-02 -1.922909198322628058e-03 -8.695642530611790572e-03
-1.407992980528596718e+03 -1.483075147328971090e-02 -1.453698602735795748e-03 -8.142225038012753865e-03
-1.406992950009155720e+03 -1.420206646825401473e-02 -6.797101648351613987e-04 -7.440888316544587953e-03
-1.405992919489714950e+03 -1.436540899747634770e-02 -8.353820398351304933e-04 -7.600395518655739258e-03
-1.404992888970274180e+03 -1.484195963876593083e-02 -1.146725789835179162e-03 -7.994342714300554237e-03
-1.403992858450833182e+03 -1.547054768735305411e-02 -8.309350864383186191e-04 -8.150741386895686905e-03
-1.402992827931392185e+03 -1.514829353861651268e-02 -5.285042473064204124e-04 -7.838398892961466816e-03
-1.401992797411951415e+03 -1.436091021825398190e-02 -1.151210751380683101e-03 -7.756060484817332498e-03
-1.400992766892510645e+03 -1.436780382176055387e-02 -1.773917255454943295e-03 -8.070860538607747825e-03
-1.399992736373069647e+03 -1.531397271825401737e-02 -2.076234070140910593e-03 -8.695103394197463767e-03
-1.398992705853628649e+03 -1.515049445000335102e-02 -1.297855691066536997e-03 -8.224175070534944440e-03
-1.397992675334187879e+03 -1.452440787779432640e-02 -9.887734259136572897e-04 -7.756590651853991630e-03
-1.396992644814747109e+03 -1.515512896825404847e-02 -8.376720307937097305e-04 -7.996400499523879588e-03
-1.395992614295306112e+03 -1.500097791037384616e-02 -9.933534078308884057e-04 -7.997165659102366958e-03
-1.394992583775865114e+03 -1.546810438484428306e-02 -1.300088669802261640e-03 -8.384096527323272457e-03
-1.393992553256424344e+03 -1.515276323090435605e-02 -6.750731706948958190e-04 -7.913918200799625879e-03
-1.392992522736983574e+03 -1.483744146825388514e-02 -6.843661630497011820e-04 -7.760903815651793054e-03
-1.391992492217542576e+03 -1.499628521825396681e-02 -5.193632875461253731e-04 -7.757824252900046361e-03
-1.390992461698101579e+03 -1.483744146825388514e-02 -5.263852930168782130e-04 -7.681913380635382003e-03
-1.389992431178660809e+03 -1.467859771825391797e-02 -5.216817846163686974e-04 -7.600139751435142955e-03
-1.388992400659220039e+03 -1.468101193382795322e-02 -3.754644366031067450e-04 -7.528238185215530009e-03
-1.387992370139779041e+03 -1.499386130703501963e-02 -1.304773174128427129e-03 -8.149317240581722618e-03
-1.386992339620338043e+03 -1.467616411139006233e-02 -1.453299517174472212e-03 -8.064731814282266945e-03
-1.385992309100897273e+03 -1.468348432327131435e-02 -1.462858566570146741e-03 -8.073171444920730980e-03
-1.384992278581456503e+03 -1.531642571640755637e-02 -1.613741414835196276e-03 -8.465083565621376108e-03
-1.383992248062015506e+03 -1.531151002445556991e-02 -1.613741414835196276e-03 -8.462625719645382877e-03
-1.382992217542574508e+03 -1.531397271825401737e-02 -1.616164434314263819e-03 -8.465068576284141139e-03
-1.381992187023133738e+03 -1.499132104807756813e-02 -1.925085164835134898e-03 -8.458203106456351622e-03
-1.380992156503692968e+03 -1.452224574898699182e-02 -1.925085164835134898e-03 -8.223665456911062599e-03
-1.379992125984251970e+03 -1.500128817100987444e-02 -2.083208565425654236e-03 -8.542248368217764121e-03
